Scenario_Full_ID,M_Opt,Max_Value,Error_Rate,Error_Type,Pos_Errors,Neg_Errors,Seeded_Population_Rate,Config_ID,Avg_Time_Sec,Avg_Generations,Avg_Found_M,Avg_Distance_From_Opt
M40_Max1000_Err2%_both_Seed2%_CfgB,40,1000,0.02,both,16,16,0.02,B,66.426,52.9,68.2,28.2
M40_Max1000_Err5%_pos_Seed0%_CfgA,40,1000,0.05,pos,39,0,0.0,A,27.2037,33.6,77.6,37.6
M40_Max1000_Err2%_both_Seed2%_CfgC,40,1000,0.02,both,16,16,0.02,C,107.2283,28.5,68.5,28.5
M40_Max1000_Err5%_pos_Seed0%_CfgB,40,1000,0.05,pos,39,0,0.0,B,57.6125,35.9,77.1,37.1
M40_Max1000_Err5%_pos_Seed0%_CfgC,40,1000,0.05,pos,39,0,0.0,C,116.3283,25.8,78,38
M40_Max1000_Err5%_pos_Seed2%_CfgA,40,1000,0.05,pos,39,0,0.02,A,36.3971,45.5,77.1,37.1
M40_Max1000_Err5%_pos_Seed2%_CfgB,40,1000,0.05,pos,39,0,0.02,B,55.994,39.1,74.1,34.1
M40_Max1000_Err5%_neg_Seed0%_CfgA,40,1000,0.05,neg,0,39,0.0,A,27.1481,38.9,73.7,33.7
M40_Max1000_Err5%_pos_Seed2%_CfgC,40,1000,0.05,pos,39,0,0.02,C,116.6799,26.5,76,36
M40_Max1000_Err5%_neg_Seed0%_CfgB,40,1000,0.05,neg,0,39,0.0,B,48.1308,36.2,72.3,32.3
M40_Max1000_Err5%_neg_Seed2%_CfgA,40,1000,0.05,neg,0,39,0.02,A,27.0359,39.8,72.5,32.5
M40_Max1000_Err5%_neg_Seed0%_CfgC,40,1000,0.05,neg,0,39,0.0,C,107.859,27.6,73.9,33.9
M40_Max1000_Err5%_neg_Seed2%_CfgB,40,1000,0.05,neg,0,39,0.02,B,79.3692,63.4,66.7,26.7
M40_Max1000_Err5%_neg_Seed2%_CfgC,40,1000,0.05,neg,0,39,0.02,C,101.6896,27.4,69.7,29.7
M40_Max1000_Err5%_both_Seed0%_CfgA,40,1000,0.05,both,39,39,0.0,A,32.0674,40.9,76.3,36.3
M40_Max1000_Err5%_both_Seed0%_CfgB,40,1000,0.05,both,39,39,0.0,B,52.7004,35.2,75.9,35.9
M40_Max1000_Err5%_both_Seed0%_CfgC,40,1000,0.05,both,39,39,0.0,C,110.0864,25.7,76.3,36.3
M40_Max1000_Err5%_both_Seed2%_CfgA,40,1000,0.05,both,39,39,0.02,A,29.2068,38.2,75.2,35.2
M40_Max1000_Err5%_both_Seed2%_CfgB,40,1000,0.05,both,39,39,0.02,B,53.84,36.3,75.5,35.5
